id,protocol,source,destination,sport,dport,avg_size,packet_count,packetssent,packetsreceived,bytessent,bytesreceived,avg_ttl,syn_count,fin_count,ack_count,created_at
2971,6,34.139.124.58,192.168.101.13,443,51739,192.6,10,10,10,1926,1926,54,0,0,10,15:41.1
2972,6,142.251.221.170,192.168.101.13,443,59150,60,1,1,1,60,60,61,0,0,1,15:41.1
2973,6,192.168.101.13,142.251.221.170,59150,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2974,6,192.168.101.13,3.233.158.24,62337,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2975,6,192.168.101.13,34.104.35.123,49900,80,54,1,1,1,54,54,128,0,0,1,15:41.1
2976,6,192.168.101.13,34.139.124.58,51739,443,346.6666667,3,3,3,1040,1040,128,0,0,3,15:41.1
2977,6,3.233.158.24,192.168.101.13,443,62337,54,1,1,1,54,54,53,0,1,1,15:41.1
2978,6,34.104.35.123,192.168.101.13,80,49900,54,1,1,1,54,54,61,0,0,1,15:41.1
2979,6,34.139.124.58,192.168.101.13,443,51739,220.3333333,3,3,3,661,661,54,0,0,3,15:41.1
2980,6,104.18.32.47,192.168.101.13,443,49207,54,1,1,1,54,54,59,0,1,1,15:41.1
2981,6,142.251.221.170,192.168.101.13,443,59150,54,1,1,1,54,54,119,0,1,1,15:41.1
2982,6,172.188.155.25,192.168.101.13,443,63943,54,1,1,1,54,54,61,0,0,1,15:41.1
2983,6,172.64.148.235,192.168.101.13,443,63413,69,2,2,2,138,138,59,0,0,2,15:41.1
2984,6,172.64.155.209,192.168.101.13,443,64115,54,1,1,1,54,54,59,0,1,1,15:41.1
2985,6,192.168.101.13,104.18.32.47,49207,443,54,2,2,2,108,108,128,0,1,2,15:41.1
2986,6,192.168.101.13,142.251.221.170,59150,443,54,2,2,2,108,108,128,0,1,2,15:41.1
2987,6,192.168.101.13,172.188.155.25,63943,443,54,1,1,1,54,54,128,0,0,1,15:41.1
2988,6,192.168.101.13,172.64.148.235,63413,443,82,1,1,1,82,82,128,0,0,1,15:41.1
2989,6,192.168.101.13,172.64.155.209,64115,443,54,2,2,2,108,108,128,0,1,2,15:41.1
2990,6,192.168.101.13,3.233.158.24,62337,443,54,1,1,1,54,54,128,0,1,1,15:41.1
